Statistic Measure	Naive Bayes	Random_Forest	SVM	KNN	My Method	
Accuracy	0.9010392385392386	0.9351204351204352	0.990909090909091	0.33	
Precision	0.9186666666666667	0.96	0.9933333333333334	0.2326111111111111	
Recall	0.9066666666666666	0.9466666666666665	0.9933333333333334	0.35333333333333333	
F-Measure	0.8939523809523807	0.9416190476190476	0.992	0.23465501165501168	
